column,dtype,missing_rate,n_unique,iv,band,max_lift,worst_bin,note
EXT_SOURCE_3,numeric,0.19825307062186392,814,0.32927943742921095,mạnh,2.4778311970686024,"(-0.000473, 0.228]",
EXT_SOURCE_2,numeric,0.0021462646864665006,119831,0.306348780418399,mạnh,2.2730900714832414,"(-0.0009999183, 0.216]",
EXT_SOURCE_1,numeric,0.5638107254699832,114584,0.15078163641048553,trung bình,2.175646751053408,"(0.013600000000000001, 0.213]",
DAYS_EMPLOYED,numeric,0.0,12574,0.11114017495231135,trung bình,1.4203984392510158,"(-617.0, -333.0]",
DAYS_BIRTH,numeric,0.0,17460,0.08416726520645408,yếu,1.4344968063778831,"(-10284.0, -7489.0]",
AMT_GOODS_PRICE,numeric,0.0009040327012692228,1002,0.08406163387077001,yếu,1.7022691791584206,=450000,
OCCUPATION_TYPE,categorical,0.31345545362604915,18,0.07586649233865832,yếu,1.4029847420358355,Drivers,
NAME_INCOME_TYPE,categorical,0.0,8,0.05789021327716241,yếu,1.1877383725708617,Working,
ORGANIZATION_TYPE,categorical,0.0,58,0.05780437957653331,yếu,1.4467955348202184,Construction,
REGION_RATING_CLIENT_W_CITY,numeric,0.0,3,0.05118774644757461,yếu,1.4124062335114613,3,
NAME_EDUCATION_TYPE,categorical,0.0,5,0.050737952116429334,yếu,1.3536272460683907,Lower secondary,
REGION_RATING_CLIENT,numeric,0.0,3,0.04830197695840551,yếu,1.375324791437851,3,
DAYS_LAST_PHONE_CHANGE,numeric,3.2519161916159095e-06,3773,0.0468268328242804,yếu,1.2301581829697132,"(-360.0, -186.0]",
AMT_CREDIT,numeric,0.0,5603,0.04505506608589681,yếu,1.3033800726677578,"(513531.0, 604152.0]",
CODE_GENDER,categorical,0.0,3,0.03859945660621288,yếu,1.256294879891352,M,
DAYS_ID_PUBLISH,numeric,0.0,6168,0.03843884023852507,yếu,1.259471088574962,"(-730.0, 0.0]",
FLOORSMAX_MODE,numeric,0.4976082156410665,25,0.03830600049414199,yếu,1.1384974402572023,__MISSING__,
REGION_POPULATION_RELATIVE,numeric,0.0,81,0.03774229164032731,yếu,1.2365099234087102,"(0.0152, 0.0188]",
FLOORSMAX_AVG,numeric,0.4976082156410665,403,0.037667635263419534,yếu,1.1384974402572023,__MISSING__,
FLOORSMAX_MEDI,numeric,0.4976082156410665,49,0.03724623318437979,yếu,1.1384974402572023,__MISSING__,
TOTALAREA_MODE,numeric,0.4826851722377411,5116,0.0362270157473632,yếu,1.143819543020871,__MISSING__,
LIVINGAREA_AVG,numeric,0.5019332641759157,5199,0.033567022482325605,yếu,1.1433304168850087,"(-0.001, 0.0144]",
